Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;% Saturació d'oxigen (camp);-;88;%
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Amoni;-;0.29;mg NH4/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Bicarbonats;-;424;mg HCO3/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Calci;-;164;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Clorurs;-;54.9;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat (camp);-;853;µS/cm
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat a 20ºC;-;879;µS/cm
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Duresa total;-;463;mg CaCO3/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Error relatiu balanç iònic;-;1.37;%
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Fosfats;-;0.2675944;mg PO4/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Magnesi;-;13;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrats;-;28.1;mg NO3/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrits;-;0.71;mg NO2/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Oxigen dissolt (camp);-;9.7;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Potassi;-;3.25;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Sodi;-;33.92;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Sulfats;-;76;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Suma d'anions;-;10.532;meq/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Suma de cations;-;10.8241;meq/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;TOC;-;2.7;mg/L
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;Temperatura de l'aigua (camp);-;10.9;ºC
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;pH;-;7.7;u.pH
2007/01/23;200044000;2000440;Riera de Cinyana;496519;4656557;pH (camp);-;8;u.pH
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;% Saturació d'oxigen (camp);-;172;%
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoni;-;0.1;mg NH4/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoníac no ionitzat;-;<0.025;mg NH3/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Bicarbonats;-;239.5;mg HCO3/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Calci;-;95.3;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clor residual total;-;<0.005;mg HClO/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clorurs;-;73;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat (camp);-;731;µS/cm
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat a 20ºC;-;742;µS/cm
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Duresa total;-;298.9;mg CaCO3/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Error relatiu balanç iònic;-;0.15;%
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Fosfats;-;0.24083496;mg PO4/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Magnesi;-;14.8;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrats;-;12.3;mg NO3/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrits;-;0.37;mg NO2/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Oxigen dissolt (camp);-;19;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Potassi;-;8.18;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sodi;-;51.93;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sulfats;-;110;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma d'anions;-;8.463;meq/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma de cations;-;8.4436;meq/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;TOC;-;4.9;mg/L
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Temperatura de l'aigua (camp);-;12.1;ºC
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH;-;8.3;u.pH
2007/01/23;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH (camp);-;9.5;u.pH
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;% Saturació d'oxigen (camp);-;100;%
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Amoni;-;0.15;mg NH4/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Bicarbonats;-;427.5;mg HCO3/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Calci;-;163.5;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Clorurs;-;60.3;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat (camp);-;855;µS/cm
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat a 20ºC;-;882;µS/cm
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Duresa total;-;460.6;mg CaCO3/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Error relatiu balanç iònic;-;0.79;%
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Fosfats;-;<0.0668986;mg PO4/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Magnesi;-;12.7;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrats;-;29.5;mg NO3/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrits;-;0.36;mg NO2/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Oxigen dissolt (camp);-;11;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Potassi;-;4.71;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Sodi;-;31.44;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Sulfats;-;81;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Suma d'anions;-;10.868;meq/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Suma de cations;-;10.6973;meq/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;TOC;-;2.6;mg/L
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;Temperatura de l'aigua (camp);-;10.7;ºC
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;pH;-;7.9;u.pH
2007/02/05;200044000;2000440;Riera de Cinyana;496519;4656557;pH (camp);-;8.1;u.pH
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;% Saturació d'oxigen (camp);-;162;%
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoni;-;0.12;mg NH4/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoníac no ionitzat;-;<0.025;mg NH3/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Bicarbonats;-;239.3;mg HCO3/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Calci;-;96.7;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clor residual total;-;<0.005;mg HClO/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clorurs;-;75.6;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat (camp);-;726;µS/cm
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat a 20ºC;-;747;µS/cm
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Duresa total;-;297.9;mg CaCO3/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Error relatiu balanç iònic;-;2.26;%
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Fosfats;-;0.12041748;mg PO4/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Magnesi;-;13.7;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrats;-;14.3;mg NO3/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrits;-;0.24;mg NO2/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Oxigen dissolt (camp);-;17.7;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Potassi;-;9.75;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sodi;-;48.21;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sulfats;-;115;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma d'anions;-;8.684;meq/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma de cations;-;8.2997;meq/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;TOC;-;4.4;mg/L
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Temperatura de l'aigua (camp);-;11.5;ºC
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH;-;8.2;u.pH
2007/02/05;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH (camp);-;9.2;u.pH
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;% Saturació d'oxigen (camp);-;114;%
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoni;-;<0.08;mg NH4/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoníac no ionitzat;-;<0.025;mg NH3/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Bicarbonats;-;241.7;mg HCO3/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Calci;-;96.1;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clor residual total;-;<0.005;mg HClO/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clorurs;-;80.7;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat (camp);-;897;µS/cm
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat a 20ºC;-;759;µS/cm
