Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;% Saturació d'oxigen (camp);-;121.5;%
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Amoni;-;14.38;mg NH4/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Bicarbonats;-;343;mg HCO3/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Calci;-;134.2;mg/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Clorurs;-;377.4;mg/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat (camp);-;2030;µS/cm
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat a 20ºC;-;1956;µS/cm
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Duresa total;-;482.1;mg CaCO3/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Error relatiu balanç iònic;-;2.31;%
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Fosfats;-;0.52180908;mg PO4/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Magnesi;-;35.7;mg/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrats;-;<0.3;mg NO3/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrits;-;0.83;mg NO2/L
2007/01/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Oxigen dissolt (camp);-;14;mg/L
